=== 온라인 쇼핑몰 StyleFit 고객 리뷰 데이터 (200건) ===
수집 기간: 2024.06 ~ 2024.12
총 리뷰 수: 200건
============================================================

1. [2024-06-03] (별점 5) "여기서 산 린넨 블라우스 진짜 대박이에요. 여름에 이것만 입게 됩니다. 세탁해도 형태 안 무너지고 매번 감탄해요."

2. [2024-06-05] (별점 2) "주문한 지 5일이 지났는데 아직도 배송 중이에요. 송장 번호 찍혀있는데 배송 추적하면 '상품 준비 중'만 뜹니다. 답답해요."

3. [2024-06-07] (별점 4) "면 티셔츠 3장 세트로 샀는데 가성비 괜찮아요. 다만 화이트가 살짝 비침이 있어서 이너를 입어야 할 것 같습니다."

4. [2024-06-08] (별점 1) "사이즈 표 보고 M 시켰는데 팔 길이가 너무 짧아요. 교환하려고 CS에 문의했더니 3일째 답이 없습니다. 이게 말이 됩니까?"

5. [2024-06-10] (별점 5) "직장 동료가 추천해서 처음 사봤는데 바로 팬 됐어요. 오피스룩으로 입기 딱 좋은 핏이에요. 내일 출근복도 여기서 골라야겠다."

6. [2024-06-12] (별점 3) "옷은 마음에 드는데 쿠폰 적용이 안 돼서 결제하다가 짜증 났어요. 3만원 쿠폰이 있었는데 5만원 이상 구매 시 사용 가능이래요. 조건이 너무 까다로워요."

7. [2024-06-14] (별점 4) "와이드 팬츠 170cm인 제가 입어도 길이가 딱이에요. 사이즈 가이드 정확해서 실패가 없는 브랜드입니다."

8. [2024-06-15] (별점 2) "앱에서 장바구니에 담아놓고 결제하려는데 자꾸 튕겨서 결국 PC로 주문했어요. 모바일 앱 좀 고쳐주세요. 이게 벌써 두 번째입니다."

9. [2024-06-18] (별점 5) "엄마 생신 선물로 실크 스카프 샀는데 포장이 너무 예뻐서 별도 포장 안 해도 됐어요. 엄마도 엄청 좋아하셨습니다."

10. [2024-06-20] (별점 3) "기본 니트 재구매했는데 작년에 산 거랑 색감이 미묘하게 달라요. 같은 '아이보리'인데... 로트 차이인가 봐요."

11. [2024-06-22] (별점 4) "가격은 조금 있지만 그만큼 소재가 달라요. 유니클로 같은 데서 사면 두 번 세탁하면 늘어나는데 여기 옷은 반년 입어도 새 옷 같아요."

12. [2024-06-24] (별점 1) "제품 설명에 '면 100%'라고 써있어서 샀는데 라벨 보니까 폴리에스터 30% 혼방이에요. 이건 허위 표기 아닌가요? 신뢰가 깨졌습니다."

13. [2024-06-26] (별점 5) "매달 새 컬렉션 올라오는 게 소소한 즐거움이에요. 이번 달 '쿨톤 여름 컬렉션'은 진짜 제 취향 저격입니다."

14. [2024-06-28] (별점 3) "배송은 빠른데 상자가 너무 큰 거 아닌가요? 티셔츠 한 장에 이렇게 큰 박스를... 환경적으로도 별로고 쓰레기 처리도 불편해요."

15. [2024-06-30] (별점 4) "남편 선물로 남성 셔츠 샀어요. 남성복도 라인업이 있는 줄 몰랐는데 디자인 괜찮네요. 남편이 회사에서 칭찬받았대요."

16. [2024-07-02] (별점 2) "반품 신청했는데 반품비가 5,000원이에요. 제품 하자도 아니고 사이즈가 안 맞아서인데... 무료 반품 아닌 데가 아직 있나 싶어요."

17. [2024-07-04] (별점 5) "2년째 단골인데 최근에 앱이 리뉴얼됐더라고요? 전보다 훨씬 빨라졌고 위시리스트 기능도 생겨서 좋아요."

18. [2024-07-06] (별점 4) "여름 린넨 팬츠 진짜 시원해요. 구김이 좀 가지만 린넨이 원래 그런 거니까. 사무실에서도 입을 수 있는 세미 캐주얼 핏이라 만족합니다."

19. [2024-07-08] (별점 3) "포인트 적립률이 작년에 3%였는데 올해 1%로 줄었어요. 멤버십 혜택을 줄일 거면 미리 공지라도 해주세요."

20. [2024-07-10] (별점 1) "주문한 원피스 색상이 화면에서 본 것과 완전 달라요. 온라인에선 코럴 핑크였는데 실물은 거의 오렌지. 모니터 차이를 감안해도 이건 좀..."

21. [2024-07-12] (별점 5) "30대 후반인데 나이에 맞는 세련된 옷 찾기가 어려웠어요. 여기는 트렌디하면서도 과하지 않아서 딱 좋아요. 주변에 많이 추천하고 있습니다."

22. [2024-07-14] (별점 4) "새로 나온 코디 추천 기능 유용하네요. 상의 누르면 어울리는 하의를 추천해줘서 세트로 구매하게 돼요."

23. [2024-07-16] (별점 2) "장마철이라 빨리 받고 싶었는데 배송이 일주일이나 걸렸어요. 서울인데 이건 좀..."

24. [2024-07-18] (별점 5) "임산부인데 임부복 찾기가 하늘의 별 따기예요. 여기 와이드 팬츠가 밴드형이라 편하게 입을 수 있어서 3장이나 샀어요."

25. [2024-07-20] (별점 3) "카드 결제할 때 특정 카드사 할인이 적용 안 되더라고요. 다른 쇼핑몰은 다 되는데 여기만 안 됩니다."

26. [2024-07-22] (별점 4) "올해 여름 여기서만 50만원 넘게 쓴 것 같아요. Gold 등급 됐는데 무료배송 혜택이 제일 좋습니다."

27. [2024-07-24] (별점 1) "박음질이 엉망이에요. 새 옷인데 옆선이 뜯어져 있었어요. 품질 관리를 어떻게 하시는 건지..."

28. [2024-07-26] (별점 5) "캐시미어 가디건 작년에 사서 한 시즌 입었는데 보풀도 안 생기고 아직도 새 것 같아요. 올해도 색상만 바꿔서 재구매합니다."

29. [2024-07-28] (별점 3) "CS 챗봇한테 물어봤는데 계속 엉뚱한 답변만 해요. 결국 전화했는데 상담원 연결까지 20분 걸렸습니다."

30. [2024-07-30] (별점 4) "직장인 출퇴근룩으로 딱이에요. 튀지 않으면서도 '어디서 샀어?' 하고 물어보는 디자인."

31. [2024-08-01] (별점 2) "여름 세일 기다렸는데 제가 찜해둔 상품은 하나도 할인 안 하더라고요. 인기 없는 것만 세일하는 느낌이라 실망했어요."

32. [2024-08-03] (별점 5) "4년째 구매하는 VIP 고객인데 최근에 VIP 전용 프리뷰 서비스가 생겼어요. 신상품을 하루 먼저 볼 수 있는데 이런 디테일이 좋습니다."

33. [2024-08-05] (별점 4) "40대 초반인데 동안 룩 연출하기 좋은 브랜드예요. 너무 어려 보이지도, 너무 나이 들어 보이지도 않는 절묘한 라인."

34. [2024-08-07] (별점 3) "택배 기사분이 부재중에 문 앞에 놓고 갔는데, 다른 집 택배랑 바뀌었어요."

35. [2024-08-09] (별점 1) "세탁 기호 보고 손세탁했는데 색이 빠져서 다른 옷까지 물들었어요. 염색 품질이 이 가격대에 이러면 안 되죠."

36. [2024-08-11] (별점 5) "친구 5명이랑 같이 입는 '스타일핏 단톡방'이 있어요 ㅋㅋ 서로 뭐 샀는지 공유하는데 이 정도면 충성 고객 맞죠?"

37. [2024-08-13] (별점 4) "출산 후 체형이 변해서 기존 옷이 다 안 맞았는데, 여기 사이즈 레인지가 넓어서 좋았어요. 55부터 88까지 있는 게 많아서 선택지가 넓습니다."

38. [2024-08-15] (별점 2) "앱 업데이트 후에 위시리스트에 담아놨던 상품이 다 사라졌어요. 한 20개는 담아놨었는데..."

39. [2024-08-17] (별점 5) "남편이 '또 택배 왔어?'라고 할 정도로 자주 시켜요. 그만큼 만족도가 높다는 뜻이겠죠."

40. [2024-08-19] (별점 3) "매장이 없어서 직접 입어볼 수 없는 게 유일한 단점이에요. 온라인 전용이다 보니 촉감이나 두께감을 가늠하기 어렵습니다."

41. [2024-08-21] (별점 4) "여기 블라우스는 회사 미팅 때 입으면 항상 센스 있다는 소리 들어요."

42. [2024-08-23] (별점 1) "이벤트 당첨됐다고 문자가 와서 링크 눌렀더니 앱 다운로드 유도 페이지였어요. 이런 마케팅은 좀 그만해주세요."

